Recipe_Link,Title,Serving,Preparation_Time,Difficulty,Main_Thumbnail,Summary_In,Ingredient,Condiment,Steps,Description
https://www.10000recipe.com/recipe/6966445,파프리카달걀볶음:초간단 저탄고지 다이어트 단백질식사,1인분,10분 이내,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/36cb806316fc9049dfe091d61f9f5bd21.jpg,토마토가 없어 토달볶대신 만든 파달볶,"파프리카-1개,달걀-3개,양파-,현미유-조금,소금-조금,후추-조금,파슬리가루-",None,"1단계||파프리카와 양파는 한입 크기로 썬다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/84613ad86c0e650adcfec7455ddd8ad21.jpg
2단계||달걀은 풀어준다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/9ad92984cfc291a4be3909f01b3200561.jpg
3단계||팬에 현미유 두르고 달걀물 붓고 소금, 후추 조금씩만 넣는다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/b7944749f8744de9fb292ba5b7124e651.jpg
4단계||스크램블에그를 만들고 파프리카와 양파를 볶는다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/20e0897d6169780a0271d01f1b88c2ba1.jpg
5단계||다시 스크램블에그를 담고 파프리카볶음과 합체시켜 볶는다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/fef35bc4078b6e0e6110fc42e435730c1.jpg
6단계||파슬리가루를 뿌린다.||https://recipe1.ezmember.co.kr/cache/recipe/2021/10/06/364e1856bab32998075e463c59d86bae1.jpg","파프리카와 달걀을 간단히 볶아 완성하는 저탄고지 메뉴로, 짧은 조리 시간에 단백질을 보충할 수 있는 가벼운 한 끼입니다."
https://www.10000recipe.com/recipe/7046232,<다이어트 건강식>초간단 순두부 계란찜,1인분,10분 이내,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2025/02/28/4c823434b94bd74b14e82cbe31649bdd1.jpg,*단백질 폭탄 영양 만점~ 한 끼 식사! *불 필요없이 전자레인지로 초간단 레시피,"달걀-2알,순두부-1팩,참기름-1T,참치액-1T,파-1T",None,"1단계||순두부 포장 부분 물로 깨끗이 씻어 주세요.||https://recipe1.ezmember.co.kr/cache/recipe/2025/02/28/4d074e8fad402ecb2845fe18e299f7461.jpg
2단계||파는 초록색 부분을 깨끗이 물에 세척 후, 가위로 잘게 잘라 주세요.(대파나 쪽파 다 상관없음)||https://recipe1.ezmember.co.kr/cache/recipe/2025/02/28/6336c9698e5bb263167f3ec31ad40ee71.jpg
3단계||실리콘 냄비(계란찜용 사이즈)에 계란 2알을 넣고,섞어 주세요.(실리콘 냄비가 없으실 경우 전자레인지 사용 가능한 용기을 사용해 주세요.)||https://recipe1.ezmember.co.kr/cache/recipe/2025/02/28/729c9d34e939c3f741547038e05240941.png
4단계||순두부 1팩을 잘라서 계란 섞은 물에 담아 주세요. (순두부 팩 로고 기준으로 아래쪽 양쪽 모서리 끝을 가위로 자른 후 공기가 빠지면 가로로 길게 가위로 잘라 주세요. 이렇게 하면 한 번에 쉽게 순두부를 꺼낼 수 있어요. 순두부 모양이 망가져도 상관 없어요!)||https://recipe1.ezmember.co.kr/cache/recipe/2025/02/28/da4b6c1075cbad243be2480dd90bec101.jpg
